Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	Unmodified Rewards Mean	Unmodified Rewards Std	Modified Rewards Mean	Modified Rewards Std	TimestepsThisBatch	TimestepsSoFar
1401.0112209320068	37	36.87616	20.782671	89.32929	-36.799046	151.0	0.0	0.24421294	0.88263327	0.24421294	0.88263327	30049	1141862
1435.0296511650085	38	44.215378	20.31592	102.6363	-23.868303	151.0	0.0	0.29281712	0.84858906	0.29281712	0.84858906	30049	1171911
1472.5383698940277	39	48.267067	24.19961	95.060585	-46.40072	151.0	0.0	0.3196495	0.8369807	0.3196495	0.8369807	30049	1201960
1508.8835339546204	40	51.783592	23.824913	97.13395	-48.194256	151.0	0.0	0.3429377	0.8635466	0.3429377	0.8635466	30049	1232009
1542.9649910926819	41	52.352627	22.976141	101.2681	-44.47316	151.0	0.0	0.34670618	0.91748685	0.34670618	0.91748685	30049	1262058
1576.763948917389	42	64.17404	16.649714	104.89351	6.408268	151.0	0.0	0.42499366	0.8734539	0.42499366	0.8734539	30049	1292107
1609.6456151008606	43	64.7169	20.562658	104.25058	-6.7664566	151.0	0.0	0.42858878	0.8677273	0.42858878	0.8677273	30049	1322156
1644.512866973877	44	78.55752	19.566515	119.8262	-6.9008713	151.0	0.0	0.52024853	0.9301162	0.52024853	0.9301162	30049	1352205
1679.4860351085663	45	77.21327	22.55194	133.07472	9.688383	151.0	0.0	0.5113462	0.9889208	0.5113462	0.9889208	30049	1382254
1715.89014005661	46	82.93835	23.397106	122.5224	-61.245712	151.0	0.0	0.5492606	0.9652351	0.5492606	0.9652351	30049	1412303
1767.553917169571	47	85.05891	16.866467	119.32842	17.259808	151.0	0.0	0.563304	0.90082955	0.563304	0.90082955	30049	1442352
1805.0343489646912	48	90.84173	18.051922	135.95976	25.712616	151.0	0.0	0.6016008	0.9437083	0.6016008	0.9437083	30049	1472401
1839.1000380516052	49	89.796196	20.388699	136.69452	18.041164	151.0	0.0	0.5946768	1.0209962	0.5946768	1.0209962	30049	1502450
1884.4219450950623	50	87.265076	21.72295	131.75114	-12.710163	151.0	0.0	0.5779144	1.0536512	0.5779144	1.0536512	30049	1532499
1923.5480749607086	51	100.65228	18.191029	139.65326	18.83412	151.0	0.0	0.6665715	1.0425203	0.6665715	1.0425203	30049	1562548
1956.2263898849487	52	98.996666	16.026697	132.55875	14.8417	151.0	0.0	0.65560704	0.9542291	0.65560704	0.9542291	30049	1592597
1986.825023174286	53	99.50849	15.064517	133.7626	32.4115	151.0	0.0	0.6589967	0.91754013	0.6589967	0.91754013	30049	1622646
2018.3924961090088	54	101.7944	15.18133	136.40344	39.997696	151.0	0.0	0.674135	0.9556178	0.674135	0.9556178	30049	1652695
2051.9505949020386	55	97.929855	17.562061	149.3446	47.61974	151.0	0.0	0.64854205	1.0005442	0.64854205	1.0005442	30049	1682744
2089.0005609989166	56	115.2043	17.752287	151.41449	30.449812	151.0	0.0	0.7629424	1.0178589	0.7629424	1.0178589	30049	1712793
2120.131390094757	57	112.52293	25.322353	162.48758	9.464156	151.0	0.0	0.74518496	0.98829687	0.74518496	0.98829687	30049	1742842
2150.947296857834	58	100.87281	30.706285	144.57068	-13.257718	151.0	0.0	0.6680319	0.9931421	0.6680319	0.9931421	30049	1772891
2181.4602642059326	59	116.88224	18.156467	157.43742	27.084017	151.0	0.0	0.7740546	1.0477204	0.7740546	1.0477204	30049	1802940
2212.9125471115112	60	101.07068	24.332241	147.70203	-0.20844877	151.0	0.0	0.6693422	1.0928231	0.6693422	1.0928231	30049	1832989
2243.7833120822906	61	97.78681	22.073637	148.40038	4.0631638	151.0	0.0	0.6475948	1.0543886	0.6475948	1.0543886	30049	1863038
2274.6708471775055	62	110.81717	13.035449	145.60486	65.76035	151.0	0.0	0.73388857	0.99561024	0.73388857	0.99561024	30049	1893087
2308.523488998413	63	120.80192	18.786865	167.33221	8.504408	151.0	0.0	0.8000127	1.0262812	0.8000127	1.0262812	30049	1923136
4631.688873052597	64	129.0934	20.53533	174.45425	51.46505	151.0	0.0	0.85492325	1.0940483	0.85492325	1.0940483	30049	1953185
4665.744313955307	65	112.70786	32.422813	165.62253	-26.604788	151.0	0.0	0.74640965	1.1400192	0.74640965	1.1400192	30049	1983234
4722.5964069366455	66	91.2107	30.498606	156.5225	-14.99441	151.0	0.0	0.6040444	1.1263907	0.6040444	1.1263907	30049	2013283
4760.178050041199	67	96.48969	24.295488	152.40927	12.749945	151.0	0.0	0.6390046	1.073378	0.6390046	1.073378	30049	2043332
5955.592522144318	68	110.80898	16.551281	155.12657	53.627277	151.0	0.0	0.7338344	1.0318575	0.7338344	1.0318575	30049	2073381
6006.153811216354	69	115.556274	18.193535	159.5635	27.232035	151.0	0.0	0.7652733	1.0554883	0.7652733	1.0554883	30049	2103430
6037.195287942886	70	104.59025	23.025309	150.90668	-23.858503	151.0	0.0	0.6926506	1.0496144	0.6926506	1.0496144	30049	2133479
