Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	Unmodified Rewards Mean	Unmodified Rewards Std	Modified Rewards Mean	Modified Rewards Std	Log Likelihood Mean	Log Likelihood Std	KL Divergence Mean	KL Divergence Std	Negative ELBo	TimestepsThisBatch	TimestepsSoFar
981.3378880023956	25	-9.973672	14.510074	21.960407	-69.01781	151.0	0.0	-0.066050805	0.62792003	-0.066051066	0.62792	-0.6932071	0.0014407914	9.901785e-06	1.3158948e-06	0.69320804	30049	781274
1044.9525260925293	26	-6.2491817	15.757686	23.802473	-71.95805	151.0	0.0	-0.041385304	0.6196273	-0.041388337	0.6196273	-0.6929947	0.002488912	2.0996724e-05	3.0810118e-06	0.6929968	30049	811323
1082.6652970314026	27	-2.8326833	12.559739	31.918743	-34.33039	151.0	0.0	-0.018759493	0.63077325	-0.018764716	0.6307732	-0.69362724	0.007042187	0.0004898998	0.00024883245	0.69367623	30049	841372
1120.0383701324463	28	-1.1527499	15.133144	31.532864	-67.845184	151.0	0.0	-0.007634106	0.6546119	-0.007633005	0.6546119	-0.69304895	0.0031831462	6.351588e-05	1.1721745e-05	0.69305533	30049	871421
1162.3506371974945	29	2.6187427	17.969278	77.46859	-65.26206	151.0	0.0	0.017342668	0.6864115	0.017342197	0.6864115	-0.693148	0.00027288837	1.5547756e-05	1.392457e-06	0.6931496	30049	901470
1215.1127529144287	30	9.161993	16.91076	48.972107	-49.457207	151.0	0.0	0.060675442	0.6936604	0.060681835	0.69366044	-0.69367045	0.0065562846	0.00047438173	0.00016109493	0.69371784	30049	931519
1272.6164309978485	31	15.713562	20.292746	57.93615	-86.11013	151.0	0.0	0.104063325	0.7163909	0.10406264	0.7163909	-0.69314724	0.0004885009	2.0115414e-05	3.764525e-06	0.6931492	30049	961568
1325.0620889663696	32	13.3690815	22.754995	65.96843	-54.582474	151.0	0.0	0.08853696	0.77735	0.08853633	0.77735	-0.6931391	0.00012730513	5.811429e-06	2.0897783e-06	0.6931397	30049	991617
1375.771577835083	33	13.904017	25.112005	59.422104	-54.77748	151.0	0.0	0.09207957	0.78903556	0.092079505	0.78903556	-0.6931458	0.00037125807	1.8485815e-05	4.387107e-06	0.6931478	30049	1021666
1459.415685892105	34	24.075583	22.477945	83.46293	-43.911987	151.0	0.0	0.15944096	0.78394747	0.15943758	0.78394747	-0.6929585	0.007419532	0.0010247894	0.00033341045	0.69306093	30049	1051715
1537.5274050235748	35	24.493525	20.899101	73.47668	-42.160088	151.0	0.0	0.1622088	0.7932268	0.16220048	0.7932267	-0.69279563	0.01662103	0.00054308155	0.00015169835	0.6928499	30049	1081764
1591.0759921073914	36	28.831446	18.562374	73.41771	-38.149334	151.0	0.0	0.19093674	0.79454476	0.19093873	0.79454476	-0.69325346	0.0011204502	2.8394927e-05	1.764864e-06	0.69325626	30049	1111813
1628.2937438488007	37	35.512764	17.97043	71.91734	-26.928589	151.0	0.0	0.23518384	0.78618455	0.23517473	0.78618455	-0.6931254	0.0007130411	0.00013350004	4.178619e-05	0.6931387	30049	1141862
1665.0808141231537	38	40.733437	21.86109	83.257484	-60.880814	151.0	0.0	0.26975784	0.7926397	0.26976025	0.7926397	-0.69306993	0.0019490918	5.6636247e-05	8.214956e-06	0.69307566	30049	1171911
1705.169387102127	39	47.86092	23.476526	102.08975	-23.798233	151.0	0.0	0.31695977	0.84228754	0.3169553	0.84228754	-0.6931496	0.0023819036	3.955598e-06	5.519361e-07	0.69315016	30049	1201960
1747.5175931453705	40	57.477554	21.212345	102.292755	-57.280422	151.0	0.0	0.38064605	0.90663844	0.38064915	0.9066387	-0.69694	0.017607475	0.002179109	0.0005116687	0.6971579	30049	1232009
1792.3572390079498	41	63.591526	20.87892	117.26836	-31.01979	151.0	0.0	0.4211359	0.93837	0.42113364	0.93837	-0.69273746	0.0053764535	0.0001617858	9.217852e-05	0.6927537	30049	1262058
1831.725657939911	42	59.356518	29.797798	114.686356	-40.88805	151.0	0.0	0.39308953	0.90984094	0.3930868	0.9098409	-0.692695	0.0037940317	6.6695495e-05	1.2800824e-05	0.69270176	30049	1292107
1872.9671120643616	43	49.169273	33.38637	94.74557	-43.735737	151.0	0.0	0.32562432	0.8651784	0.32562834	0.8651783	-0.6931449	0.0021828488	8.021829e-05	1.48084355e-05	0.693153	30049	1322156
1910.5789029598236	44	70.68051	22.108995	107.142075	-8.25168	151.0	0.0	0.46808288	0.8707335	0.46809423	0.87073374	-0.6924263	0.008077232	0.0010930102	0.00060305506	0.69253564	30049	1352205
1947.4287910461426	45	79.35075	17.684805	126.62985	-39.80612	151.0	0.0	0.52550167	0.92940086	0.5255005	0.92940086	-0.6927531	0.00325132	4.5865716e-05	9.922866e-06	0.6927576	30049	1382254
1987.5404629707336	46	75.239746	19.703096	119.46707	9.748119	151.0	0.0	0.49827644	0.98154575	0.4982741	0.98154575	-0.6931454	0.00089905324	0.00015858252	3.8864655e-05	0.69316125	30049	1412303
2031.8260309696198	47	71.5887	20.798157	118.341446	-5.4075394	151.0	0.0	0.47409734	0.9643323	0.47409698	0.9643323	-0.69314647	0.00083747366	1.1032111e-05	1.9694749e-06	0.6931476	30049	1442352
2071.665218114853	48	78.40105	18.973728	127.54106	14.536968	151.0	0.0	0.51921225	0.9783669	0.51921165	0.978367	-0.6931964	0.0054650693	0.00019555676	3.71711e-05	0.6932159	30049	1472401
2111.2293708324432	49	84.46449	19.95005	145.76451	-9.803278	151.0	0.0	0.5593675	1.0461682	0.55936754	1.0461682	-0.69314706	0.00052792585	3.6409638e-06	6.579138e-07	0.69314754	30049	1502450
2149.5686509609222	50	85.80247	17.797972	130.65125	-23.393017	151.0	0.0	0.56822824	1.0566397	0.5682335	1.0566397	-0.69345176	0.008663046	0.0013572528	0.0003751529	0.6935875	30049	1532499
2186.9717650413513	51	85.54709	18.819576	118.83525	6.6800537	151.0	0.0	0.566537	1.0133343	0.5665364	1.0133343	-0.6930357	0.0023247106	0.00043253787	0.00011442466	0.693079	30049	1562548
2223.974030971527	52	60.417545	41.983105	119.21559	-40.990917	151.0	0.0	0.40011615	0.93616134	0.40011483	0.93616146	-0.69317645	0.0022968082	2.9123472e-05	8.391811e-06	0.69317925	30049	1592597
2261.2995870113373	53	74.28985	38.28508	129.39494	-35.573547	151.0	0.0	0.4919857	0.89058936	0.49198565	0.8905893	-0.6931481	0.0011496668	6.8163154e-06	1.5303706e-06	0.6931488	30049	1622646
2298.2526919841766	54	85.7648	31.061995	128.94815	-34.77658	151.0	0.0	0.5679788	0.857357	0.5679822	0.8573571	-0.69434345	0.0097143715	0.00078416464	0.00040881228	0.6944218	30049	1652695
2334.963767051697	55	94.5479	19.83812	135.99837	-3.4663162	151.0	0.0	0.6261449	0.9196466	0.6261459	0.9196466	-0.6931106	0.00046294497	4.1408097e-05	5.710259e-06	0.69311476	30049	1682744
2373.9833102226257	56	80.96283	28.328999	136.50873	-32.2067	151.0	0.0	0.5361777	1.0163666	0.536187	1.0163671	-0.6979094	0.036010094	0.028137032	0.0104165375	0.70072305	30049	1712793
2412.8668348789215	57	91.30924	27.776112	134.25043	-11.203745	151.0	0.0	0.604697	1.0282575	0.6046896	1.0282576	-0.6931001	0.006481463	0.0003938151	0.00017145406	0.69313943	30049	1742842
2450.826493024826	58	106.71194	27.569506	146.74605	-1.8986802	151.0	0.0	0.7067016	1.0170621	0.7067027	1.017062	-0.69290787	0.0030525967	0.00016127327	2.6626587e-05	0.69292396	30049	1772891
2488.4833199977875	59	116.760086	24.609749	155.79233	15.95881	151.0	0.0	0.7732456	1.031804	0.773239	1.031804	-0.69306487	0.000983418	0.00028391992	8.705491e-05	0.6930933	30049	1802940
