Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	Unmodified Rewards Mean	Unmodified Rewards Std	Modified Rewards Mean	Modified Rewards Std	Log Likelihood Mean	Log Likelihood Std	KL Divergence Mean	KL Divergence Std	Negative ELBo	TimestepsThisBatch	TimestepsSoFar
13.674498796463013	0	-0.42860222	0.087410815	-0.25177664	-0.6315052	21.0	0.0	-0.020409627	0.020667287	-0.020352464	0.020971175	-0.6892172	0.03403101	6.192638e-05	2.4382838e-05	0.6892234	1008	1008
21.73828673362732	1	-0.40657654	0.08666314	-0.22347537	-0.68927425	21.0	0.0	-0.019360788	0.018961022	-0.019152425	0.019180266	-0.69182575	0.023308847	7.365579e-05	6.0339527e-05	0.69183314	1008	2016
26.098231077194214	2	-0.4255549	0.09744114	-0.18878432	-0.6961053	21.0	0.0	-0.02026452	0.019262878	-0.02024805	0.019369572	-0.69392884	0.025804631	0.00014526087	4.7463716e-05	0.6939434	1008	3024
30.44097375869751	3	-0.42611274	0.08176598	-0.2454984	-0.62585235	21.0	0.0	-0.020291083	0.019339751	-0.020264093	0.019380366	-0.69196373	0.022818923	0.00014185318	0.00017330675	0.6919779	1008	4032
34.57586979866028	4	-0.42517328	0.08551231	-0.26272237	-0.63677055	21.0	0.0	-0.020246346	0.020539654	-0.020202758	0.020811768	-0.6984578	0.026739493	9.924332e-05	0.00014062761	0.69846773	1008	5040
38.54043173789978	5	-0.39947465	0.068952955	-0.29009157	-0.5712809	21.0	0.0	-0.0190226	0.018687876	-0.019057766	0.01875345	-0.692131	0.01616157	0.00029161962	0.0002818053	0.6921601	1008	6048
42.76810693740845	6	-0.41791996	0.10058339	-0.18107209	-0.6600098	21.0	0.0	-0.01990095	0.020295218	-0.020041652	0.020711577	-0.69056547	0.026359206	0.0005882968	0.0010415564	0.6906243	1008	7056
47.03881764411926	7	-0.40959564	0.095528744	-0.19146289	-0.64178455	21.0	0.0	-0.019504555	0.019317033	-0.019491093	0.019459354	-0.69451463	0.023161195	0.0012894593	0.002194162	0.6946436	1008	8064
50.94341683387756	8	-0.43622777	0.11932375	-0.25190747	-0.7868912	21.0	0.0	-0.020772748	0.020998828	-0.019425457	0.024857033	-0.6736747	0.14318894	0.09424934	0.086262904	0.68309957	1008	9072
54.992806911468506	9	-0.452518	0.10522669	-0.21684696	-0.74212885	21.0	0.0	-0.021548476	0.021870768	-0.01762495	0.030546905	-0.6609104	0.22808477	0.19337311	0.17557107	0.6802478	1008	10080
58.983914852142334	10	-0.43756184	0.10438461	-0.27319977	-0.7555417	21.0	0.0	-0.020836277	0.020914864	-0.017504137	0.0292596	-0.630697	0.17604114	0.20066485	0.19421814	0.6507635	1008	11088
62.98757290840149	11	-0.4521544	0.10294355	-0.30603707	-0.70139563	21.0	0.0	-0.02153116	0.021080473	-0.018786272	0.025275853	-0.68836427	0.13450423	0.08854169	0.081005245	0.6972185	1008	12096
67.08591794967651	12	-0.45165077	0.101439804	-0.28204885	-0.7884973	21.0	0.0	-0.02150718	0.021482322	-0.02056435	0.02399425	-0.6713024	0.09465514	0.057625912	0.056542702	0.677065	1008	13104
71.17829871177673	13	-0.52447957	0.11133204	-0.27201778	-0.7794667	21.0	0.0	-0.024975218	0.022862552	-0.018591356	0.033874404	-0.6653675	0.2573845	0.22577499	0.19012736	0.68794495	1008	14112
75.28649091720581	14	-0.08843791	2.8333235	19.319414	-0.78550416	21.0	0.0	-0.004211329	0.44412792	0.0002755447	0.44685915	-0.69737184	0.288236	0.26632133	0.16852732	0.724004	1008	15120
80.19524478912354	15	-0.33151802	1.392946	9.187341	-0.7882861	21.0	0.0	-0.015786571	0.3157705	-0.0101001905	0.31795925	-0.64490384	0.20704444	0.20636648	0.16524608	0.66554046	1008	16128
84.10306310653687	16	1.2759203	5.958043	29.353554	-0.860216	21.0	0.0	0.060758114	0.937249	0.06968451	0.9433524	-0.6844444	0.3044944	0.36928004	0.32265946	0.7213725	1008	17136
87.86364579200745	17	1.8790245	6.8700385	29.325277	-0.8788579	21.0	0.0	0.089477375	1.0814273	0.09691564	1.0864872	-0.6771035	0.30288243	0.27677363	0.22261877	0.7047808	1008	18144
91.90763282775879	18	11.16307	18.580404	68.98168	-0.87414724	21.0	0.0	0.53157467	2.3054154	0.544889	2.3176467	-0.6193763	0.30368403	0.36857733	0.32539484	0.65623397	1008	19152
96.79515171051025	19	12.22327	19.565117	69.18674	-0.9394134	21.0	0.0	0.5820605	2.3967264	0.591375	2.4093828	-0.6379912	0.3007151	0.2989993	0.22331977	0.66789114	1008	20160
102.45782399177551	20	15.73716	19.976593	69.230194	-0.87899655	21.0	0.0	0.7493885	2.6827989	0.76550037	2.6983755	-0.6138979	0.35143965	0.41345048	0.31902468	0.655243	1008	21168
107.02460789680481	21	30.004145	26.038673	79.059875	-1.0240945	21.0	0.0	1.4287689	3.5334768	1.4447453	3.5508285	-0.6089153	0.30374187	0.43302655	0.27904367	0.652218	1008	22176
