Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
6.908811092376709	0	24.609756	11.87101	76.0	11.0	24.609756097560975	11.871010084584903	1009	1009
9.943798065185547	1	19.365385	8.888256	48.0	10.0	19.365384615384617	8.888256829517001	1007	2016
12.14322829246521	2	22.444445	10.80032	62.0	9.0	22.444444444444443	10.800320068416811	1010	3026
14.078051090240479	3	18.925926	7.835938	47.0	8.0	18.925925925925927	7.835937751090004	1022	4048
15.786931276321411	4	20.02	7.918308	47.0	8.0	20.02	7.9183079000503644	1001	5049
17.78692126274109	5	17.5	7.166132	39.0	9.0	17.5	7.1661320303118945	1015	6064
19.806498050689697	6	16.833334	6.2906456	37.0	9.0	16.833333333333332	6.290645612512457	1010	7074
21.61238932609558	7	13.493333	4.8038135	37.0	8.0	13.493333333333334	4.803813300100476	1012	8086
23.618903160095215	8	14.652174	7.2986517	49.0	8.0	14.652173913043478	7.298652023562885	1011	9097
25.62533712387085	9	13.864865	5.2693005	33.0	9.0	13.864864864864865	5.269299979981762	1026	10123
27.756680250167847	10	12.256098	4.3359275	34.0	8.0	12.25609756097561	4.335927547572598	1005	11128
29.78324818611145	11	11.258427	3.2551708	30.0	8.0	11.258426966292134	3.255170786826346	1002	12130
31.573057174682617	12	11.166667	2.54842	21.0	8.0	11.166666666666666	2.54841998980632	1005	13135
33.45225715637207	13	10.520833	1.8707128	17.0	8.0	10.520833333333334	1.8707126909876413	1010	14145
35.35830020904541	14	10.04	1.5806328	17.0	8.0	10.04	1.5806327846783388	1004	15149
37.123937129974365	15	9.692307	1.0926056	15.0	8.0	9.692307692307692	1.0926055931801377	1008	16157
38.88637328147888	16	9.805825	1.1410968	14.0	8.0	9.805825242718447	1.141096835889649	1010	17167
40.96165919303894	17	9.528302	1.0746439	13.0	8.0	9.528301886792454	1.074643838935709	1010	18177
42.44428634643555	18	9.364486	0.9005971	13.0	8.0	9.36448598130841	0.9005971369455402	1002	19179
45.49981212615967	19	9.4811325	0.8926443	12.0	8.0	9.481132075471699	0.8926442811919814	1005	20184
47.623173236846924	20	9.296296	0.72340834	11.0	8.0	9.296296296296296	0.7234083327638745	1004	21188
50.93301725387573	21	9.45283	0.8141678	12.0	8.0	9.452830188679245	0.8141678871845819	1002	22190
52.70065212249756	22	9.471698	0.94377357	12.0	8.0	9.471698113207546	0.9437735094641357	1004	23194
53.90232443809509	23	9.462264	0.71604955	11.0	8.0	9.462264150943396	0.7160495437413558	1003	24197
56.15690541267395	24	9.509434	0.83829653	11.0	8.0	9.50943396226415	0.8382965996801155	1008	25205
59.14653420448303	25	9.373832	0.7915838	11.0	8.0	9.373831775700934	0.7915838197330728	1003	26208
60.682807207107544	26	9.5	0.73008144	11.0	8.0	9.5	0.7300814118470134	1007	27215
62.573487281799316	27	9.383178	0.86082834	12.0	8.0	9.383177570093459	0.8608283319379032	1004	28219
64.41134119033813	28	9.443397	0.7533596	11.0	8.0	9.443396226415095	0.7533596284624499	1001	29220
66.2007040977478	29	9.220183	0.7939888	11.0	8.0	9.220183486238533	0.7939888632447266	1005	30225
68.14407134056091	30	9.429907	0.78671384	11.0	8.0	9.429906542056075	0.7867138506816806	1009	31234
70.08301329612732	31	9.296296	0.78480077	11.0	8.0	9.296296296296296	0.7848007444598922	1004	32238
71.68632817268372	32	9.296296	0.7485697	11.0	8.0	9.296296296296296	0.7485697382002865	1004	33242
73.36713600158691	33	9.420561	0.7976294	11.0	8.0	9.42056074766355	0.7976294689103502	1008	34250
75.20090222358704	34	9.45283	0.7906538	11.0	8.0	9.452830188679245	0.7906538430096968	1002	35252
76.73683619499207	35	9.256881	0.7469039	11.0	8.0	9.256880733944953	0.7469039426439493	1009	36261
78.62110829353333	36	9.305555	0.7130832	11.0	8.0	9.305555555555555	0.7130832029440798	1005	37266
80.62284326553345	37	9.383178	0.66480076	11.0	8.0	9.383177570093459	0.6648007193935979	1004	38270
82.08241724967957	38	9.4811325	0.72983754	11.0	8.0	9.481132075471699	0.7298375636732619	1005	39275
84.54532408714294	39	9.305555	0.7510282	11.0	8.0	9.305555555555555	0.7510281019219874	1005	40280
86.28885412216187	40	9.401869	0.7216261	11.0	8.0	9.401869158878505	0.7216260595325592	1006	41286
87.8256311416626	41	9.364486	0.778118	11.0	8.0	9.36448598130841	0.778118067158828	1002	42288
89.54802823066711	42	9.342592	0.73487264	11.0	8.0	9.342592592592593	0.73487258957461	1009	43297
91.59379529953003	43	9.314815	0.7283689	11.0	8.0	9.314814814814815	0.7283689051591532	1006	44303
92.9021372795105	44	9.364486	0.68893147	10.0	8.0	9.36448598130841	0.6889314951021351	1002	45305
94.78868412971497	45	9.5	0.7678689	11.0	8.0	9.5	0.767868896042439	1007	46312
96.69527411460876	46	9.383178	0.8608284	13.0	8.0	9.383177570093459	0.8608283319379032	1004	47316
98.25065422058105	47	9.277778	0.82589275	11.0	8.0	9.277777777777779	0.8258927081843616	1002	48318
99.55171823501587	48	9.333333	0.745356	11.0	8.0	9.333333333333334	0.7453559924999299	1008	49326
101.15600109100342	49	9.324074	0.7555805	11.0	8.0	9.324074074074074	0.7555805188323462	1007	50333
103.19090509414673	50	9.411215	0.6550061	10.0	8.0	9.411214953271028	0.6550061857172049	1007	51340
104.62745118141174	51	9.296296	0.76083845	11.0	8.0	9.296296296296296	0.7608384660805235	1004	52344
106.11644315719604	52	9.268518	0.727839	11.0	8.0	9.268518518518519	0.7278390323859197	1001	53345
