Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
21.25519633293152	0	8.731239	5.0464873	35.0	3.0	8.731239092495636	5.046487351644135	5003	5003
37.576231956481934	1	11.928572	7.665609	55.0	3.0	11.928571428571429	7.665609214266688	5010	10013
70.8230631351471	2	17.678446	9.762505	57.0	4.0	17.67844522968198	9.762504623436477	5003	15016
85.66368222236633	3	25.794872	14.21083	76.0	4.0	25.794871794871796	14.210829180917083	5030	20046
103.98357009887695	4	35.055943	19.410105	90.0	8.0	35.05594405594405	19.41010342625328	5013	25059
119.62013530731201	5	39.43307	18.784979	102.0	10.0	39.43307086614173	18.784979152261084	5008	30067
134.52387118339539	6	59.97619	29.296099	192.0	12.0	59.976190476190474	29.29609765597597	5038	35105
148.24773621559143	7	67.05334	27.417217	136.0	17.0	67.05333333333333	27.4172176236434	5029	40134
161.85740423202515	8	78.90625	37.166313	202.0	12.0	78.90625	37.16631486894416	5050	45184
177.17541027069092	9	96.80769	46.138187	213.0	34.0	96.8076923076923	46.138186445944214	5034	50218
205.24197030067444	10	99.54902	42.177643	227.0	41.0	99.54901960784314	42.177641937773004	5077	55295
225.78931212425232	11	112.53333	52.544415	254.0	31.0	112.53333333333333	52.54441507482556	5064	60359
247.0699532032013	12	116.976746	74.08778	322.0	32.0	116.97674418604652	74.0877821180194	5030	65389
261.8554723262787	13	63.125	17.387766	116.0	35.0	63.125	17.38776509503162	5050	70439
280.2184000015259	14	20.279352	7.479452	44.0	8.0	20.279352226720647	7.479452202428061	5009	75448
295.8890130519867	15	44.265488	8.192396	67.0	20.0	44.26548672566372	8.192396322594565	5002	80450
311.73650002479553	16	23.392523	10.702658	55.0	8.0	23.39252336448598	10.70265667896396	5006	85456
325.69693517684937	17	31.949045	13.416786	54.0	9.0	31.94904458598726	13.416785844578648	5016	90472
339.9294390678406	18	59.294117	13.331805	93.0	13.0	59.294117647058826	13.331804987377113	5040	95512
354.02407932281494	19	163.51613	75.67242	484.0	91.0	163.51612903225808	75.67241410172767	5069	100581
368.918071269989	20	132.6579	22.044546	177.0	86.0	132.6578947368421	22.04454380016381	5041	105622
384.9897689819336	21	111.64445	12.267673	147.0	83.0	111.64444444444445	12.267673066606227	5024	110646
400.2313480377197	22	145.8	26.833668	189.0	44.0	145.8	26.83366755189671	5103	115749
414.4799702167511	23	281.22223	176.43398	813.0	44.0	281.22222222222223	176.4339837369319	5062	120811
429.60019421577454	24	364.8	246.33424	884.0	12.0	364.8	246.33424447283002	5472	126283
443.7538411617279	25	338.33334	203.10445	674.0	73.0	338.3333333333333	203.104461354797	5075	131358
459.97826313972473	26	363.2143	283.10526	976.0	89.0	363.2142857142857	283.1052753637337	5085	136443
475.2124161720276	27	347.06668	287.94363	916.0	19.0	347.06666666666666	287.9436210248265	5206	141649
