Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	Unmodified Rewards Mean	Unmodified Rewards Std	Modified Rewards Mean	Modified Rewards Std	Log Likelihood Mean	Log Likelihood Std	KL Divergence Mean	KL Divergence Std	Negative ELBo	TimestepsThisBatch	TimestepsSoFar
43.587433099746704	0	-132.20927	36.620163	-53.791298	-254.58331	151.0	0.0	-0.8755581	0.9246538	-0.8755615	0.9246544	-0.6917243	0.04901048	0.0028999276	0.0008810041	0.6920142	30049	30049
94.66158986091614	1	-95.861145	33.68789	-18.844593	-183.404	151.0	0.0	-0.634842	0.89135927	-0.6348274	0.8913589	-0.69322336	0.03560633	0.005063201	0.0046839328	0.69372964	30049	60098
133.1727488040924	2	-95.350365	37.427605	2.4147637	-225.09467	151.0	0.0	-0.63145936	0.8997727	-0.63147944	0.8997725	-0.6957653	0.040389124	0.00793254	0.0088059595	0.6965586	30049	90147
169.7329559326172	3	-82.75558	35.570244	-5.9555655	-175.85239	151.0	0.0	-0.54805017	0.89801925	-0.54806614	0.89801973	-0.6948148	0.033019748	0.0040741907	0.004006405	0.69522226	30049	120196
205.73961687088013	4	-79.057434	35.37721	11.548604	-187.37616	151.0	0.0	-0.52355915	0.89421254	-0.5235672	0.89421225	-0.69260085	0.03239007	0.0032818813	0.003505194	0.692929	30049	150245
242.49169898033142	5	-67.73656	33.54887	38.76786	-190.77911	151.0	0.0	-0.44858646	0.87491703	-0.44859856	0.8749171	-0.69390905	0.021695988	0.001712157	0.0013472189	0.69408035	30049	180294
279.7729229927063	6	-63.082104	30.128721	8.266153	-165.46118	151.0	0.0	-0.41776228	0.7860423	-0.41775316	0.78604203	-0.69239604	0.010233372	0.0012553507	0.00067339564	0.6925216	30049	210343
316.4943120479584	7	-57.753033	25.83858	11.448263	-156.20023	151.0	0.0	-0.38247043	0.7306423	-0.38247776	0.73064226	-0.69269073	0.004411294	0.00014035837	7.148192e-05	0.6927048	30049	240392
352.8086910247803	8	-56.38084	23.313004	-2.2786179	-139.80586	151.0	0.0	-0.37338307	0.6950466	-0.3733814	0.6950466	-0.6932831	0.0031437343	1.4039308e-05	6.8898066e-06	0.69328445	30049	270441
389.0086019039154	9	-51.903526	23.209866	2.33074	-127.388245	151.0	0.0	-0.34373197	0.67975104	-0.34373626	0.67975116	-0.69568866	0.019622402	0.0036776306	0.0019931803	0.6960564	30049	300490
425.22233510017395	10	-47.600746	23.989332	11.992454	-142.04175	151.0	0.0	-0.31523675	0.67575043	-0.31523752	0.67575043	-0.6931774	0.005076602	5.2441625e-05	2.316497e-05	0.69318265	30049	330539
463.1957998275757	11	-43.231323	24.32772	4.1636534	-129.34288	151.0	0.0	-0.28630015	0.6664061	-0.28631416	0.6664062	-0.6938538	0.008055613	0.00010802612	4.02767e-05	0.6938646	30049	360588
500.28032994270325	12	-38.203777	21.140654	8.833995	-130.31082	151.0	0.0	-0.25300515	0.6647752	-0.25300398	0.6647752	-0.6931489	0.0012253044	2.3469634e-06	3.4949718e-07	0.6931491	30049	390637
537.4287309646606	13	-35.353813	23.277493	26.203695	-140.1466	151.0	0.0	-0.23413123	0.6875331	-0.23412967	0.6875331	-0.6931421	0.0012526507	7.5837247e-06	3.0461779e-06	0.6931429	30049	420686
575.013524055481	14	-36.09855	22.11578	17.035572	-125.73201	151.0	0.0	-0.23906325	0.69036984	-0.23906012	0.6903697	-0.6931034	0.004819878	0.00014880202	5.4883072e-05	0.6931182	30049	450735
613.0766270160675	15	-34.528088	24.188562	29.723703	-103.32857	151.0	0.0	-0.22866283	0.7116579	-0.22868432	0.7116578	-0.69753516	0.027443388	0.0018286689	0.0008093235	0.697718	30049	480784
649.9265749454498	16	-32.935715	21.163294	27.582535	-102.27699	151.0	0.0	-0.21811731	0.7015822	-0.21811679	0.70158225	-0.6931467	0.0002654957	1.0419366e-05	3.6592785e-06	0.6931478	30049	510833
686.7911939620972	17	-36.046318	22.731453	6.8716507	-122.071526	151.0	0.0	-0.23871732	0.702355	-0.2387144	0.702355	-0.69283605	0.0064493585	0.00017540817	0.00014559129	0.69285357	30049	540882
723.9893689155579	18	-31.32996	20.723152	24.175478	-127.104385	151.0	0.0	-0.20748319	0.7050426	-0.20748517	0.70504266	-0.6924848	0.006734483	0.00014821909	6.863374e-05	0.69249964	30049	570931
761.3987238407135	19	-26.545546	21.69069	24.571932	-81.92566	151.0	0.0	-0.17579834	0.68041456	-0.17579365	0.6804146	-0.690876	0.017033871	0.000616875	0.00031244828	0.69093764	30049	600980
798.3858120441437	20	-22.817451	17.568727	20.337093	-73.428604	151.0	0.0	-0.15110895	0.65223396	-0.15109362	0.6522341	-0.6918659	0.015013602	0.0008791789	0.00084790133	0.6919539	30049	631029
834.8839979171753	21	-20.20336	16.506937	35.44431	-75.42529	151.0	0.0	-0.1337971	0.6478671	-0.13381213	0.6478671	-0.6894963	0.017280413	0.0016120347	0.0010554316	0.68965745	30049	661078
871.956435918808	22	-19.191113	14.793748	20.380514	-71.05054	151.0	0.0	-0.12709345	0.6315248	-0.12709026	0.63152486	-0.69298464	0.004401196	0.000103734565	7.045113e-05	0.6929951	30049	691127
909.6652460098267	23	-16.737791	13.875928	15.1935215	-54.84017	151.0	0.0	-0.1108463	0.61226153	-0.110838674	0.6122613	-0.6927927	0.019172579	0.00042641215	0.00029511307	0.69283533	30049	721176
946.6696729660034	24	-14.305206	13.19049	29.242092	-52.21196	151.0	0.0	-0.094736464	0.6261491	-0.09473212	0.6261496	-0.68900436	0.016737416	0.0017955003	0.0013327633	0.68918395	30049	751225
983.8748078346252	25	-10.535016	14.67562	31.56654	-58.23031	151.0	0.0	-0.06976832	0.636071	-0.069772884	0.636071	-0.69465095	0.008092163	0.00040560347	0.00051479274	0.6946915	30049	781274
