Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
75.59592485427856	0	-557.8695	61.06895	-413.5062	-756.95667	151.0	0.0	30049	30049
114.59640383720398	1	-278.90823	42.533184	-145.76843	-413.06757	151.0	0.0	30049	60098
151.4222719669342	2	-142.77397	33.614933	-59.83461	-284.261	151.0	0.0	30049	90147
207.18846678733826	3	-124.40984	30.364784	-53.224735	-231.4179	151.0	0.0	30049	120196
275.4244689941406	4	-100.922806	33.031303	-7.156986	-178.27982	151.0	0.0	30049	150245
346.05662202835083	5	-94.65972	35.70077	-8.932418	-202.74103	151.0	0.0	30049	180294
423.531849861145	6	-78.75926	33.996197	17.951456	-190.38518	151.0	0.0	30049	210343
513.9133479595184	7	-65.977936	31.029192	2.3745384	-218.8252	151.0	0.0	30049	240392
634.9964869022369	8	-58.295235	27.748009	-5.18878	-145.41832	151.0	0.0	30049	270441
735.6915640830994	9	-50.612015	25.460701	10.30267	-150.51945	151.0	0.0	30049	300490
818.5426919460297	10	-48.74475	23.632866	4.868558	-128.13268	151.0	0.0	30049	330539
909.3399081230164	11	-41.09861	21.56786	7.241747	-101.55916	151.0	0.0	30049	360588
1011.9644401073456	12	-38.47535	19.929234	4.4338965	-92.26697	151.0	0.0	30049	390637
1127.7945718765259	13	-34.461533	20.056513	29.706001	-94.73944	151.0	0.0	30049	420686
1212.8408000469208	14	-35.924877	19.862314	15.322101	-96.100876	151.0	0.0	30049	450735
1286.8476219177246	15	-32.481762	23.728474	36.844048	-151.30316	151.0	0.0	30049	480784
1358.9884278774261	16	-30.347548	19.540691	17.56964	-92.62389	151.0	0.0	30049	510833
1431.9771518707275	17	-28.399763	21.717215	21.556534	-115.868996	151.0	0.0	30049	540882
1501.8321850299835	18	-26.766088	22.082134	15.64429	-130.41904	151.0	0.0	30049	570931
1569.2895669937134	19	-24.729734	21.272465	35.71688	-85.00914	151.0	0.0	30049	600980
1638.955461025238	20	-27.313845	21.33071	33.739132	-85.88141	151.0	0.0	30049	631029
1707.0868258476257	21	-23.227617	19.34056	22.64526	-78.40367	151.0	0.0	30049	661078
1776.1066648960114	22	-19.654009	19.573328	25.022406	-95.02673	151.0	0.0	30049	691127
1849.7350871562958	23	-17.843332	16.83007	28.994585	-59.71765	151.0	0.0	30049	721176
1935.0383279323578	24	-13.962955	14.50177	26.675175	-62.75826	151.0	0.0	30049	751225
2004.7290470600128	25	-13.666415	13.75564	27.175493	-65.77339	151.0	0.0	30049	781274
2083.4432220458984	26	-11.081574	14.97662	34.794197	-69.40281	151.0	0.0	30049	811323
2175.410160779953	27	-7.0900598	13.339795	35.571033	-49.771496	151.0	0.0	30049	841372
2269.1167550086975	28	-7.477624	15.064282	47.433113	-51.54673	151.0	0.0	30049	871421
2345.9466450214386	29	-6.827736	14.689489	40.810806	-52.619476	151.0	0.0	30049	901470
2441.994602918625	30	-4.853383	18.846804	63.03717	-81.79099	151.0	0.0	30049	931519
2515.257026910782	31	-6.707588	17.317327	33.058125	-87.29112	151.0	0.0	30049	961568
2581.052768945694	32	-7.283887	18.996584	42.892662	-71.94504	151.0	0.0	30049	991617
2647.4948301315308	33	-6.637535	18.720654	45.246246	-96.315285	151.0	0.0	30049	1021666
2714.1809089183807	34	-5.9662213	18.126118	45.42144	-48.849884	151.0	0.0	30049	1051715
2804.6518568992615	35	-4.8250537	15.892335	32.52818	-53.865063	151.0	0.0	30049	1081764
2884.462851047516	36	-3.5184062	15.102003	30.63377	-50.571312	151.0	0.0	30049	1111813
2950.722347974777	37	-4.6645694	13.645741	38.80803	-48.153763	151.0	0.0	30049	1141862
3016.4385499954224	38	-0.25050002	12.748816	35.384975	-34.082985	151.0	0.0	30049	1171911
3090.3276159763336	39	3.6483529	11.152776	36.07556	-18.44654	151.0	0.0	30049	1201960
3184.229614019394	40	3.7415507	10.738023	38.092415	-22.950163	151.0	0.0	30049	1232009
3281.9855349063873	41	4.8184323	10.290115	29.750023	-18.633778	151.0	0.0	30049	1262058
3370.8052129745483	42	4.2069535	11.679316	38.66854	-33.16177	151.0	0.0	30049	1292107
3470.9817459583282	43	3.6847997	10.780343	33.003654	-37.57121	151.0	0.0	30049	1322156
3569.8053159713745	44	4.5912447	11.615885	34.213623	-23.870375	151.0	0.0	30049	1352205
3690.2957010269165	45	4.0453205	10.566836	32.214626	-37.26599	151.0	0.0	30049	1382254
3779.091159105301	46	5.8267026	11.262509	35.824642	-30.13528	151.0	0.0	30049	1412303
3863.9500641822815	47	6.8037	10.703337	40.525986	-22.4467	151.0	0.0	30049	1442352
3945.624103784561	48	9.129365	10.717548	32.868263	-20.469124	151.0	0.0	30049	1472401
